Complaint,Category
Electricity issue in hostel,Hostel
Food quality is poor,Hostel
Room cleaning not done,Hostel
Fan not working in room,Hostel
Water problem in hostel,Hostel
Food quality is poor,Hostel
Room cleaning not done,Hostel
Wifi not working,Hostel
Washroom not clean,Hostel
Wifi not working,Hostel
Fan not working in room,Hostel
Room cleaning not done,Hostel
Wifi not working,Hostel
Fan not working in room,Hostel
Room cleaning not done,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Washroom not clean,Hostel
Room cleaning not done,Hostel
Fan not working in room,Hostel
Electricity issue in hostel,Hostel
Electricity issue in hostel,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Room cleaning not done,Hostel
Room cleaning not done,Hostel
Water problem in hostel,Hostel
Wifi not working,Hostel
Wifi not working,Hostel
Bed damaged,Hostel
Water problem in hostel,Hostel
Wifi not working,Hostel
Water problem in hostel,Hostel
Wifi not working,Hostel
Bed damaged,Hostel
Room cleaning not done,Hostel
Washroom not clean,Hostel
Food quality is poor,Hostel
Washroom not clean,Hostel
Bed damaged,Hostel
Water problem in hostel,Hostel
Fan not working in room,Hostel
Wifi not working,Hostel
Room cleaning not done,Hostel
Bed damaged,Hostel
Wifi not working,Hostel
Washroom not clean,Hostel
Washroom not clean,Hostel
Fan not working in room,Hostel
Bed damaged,Hostel
Wifi not working,Hostel
Electricity issue in hostel,Hostel
Fan not working in room,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Bed damaged,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Bed damaged,Hostel
Food quality is poor,Hostel
Room cleaning not done,Hostel
Room cleaning not done,Hostel
Washroom not clean,Hostel
Washroom not clean,Hostel
Bed damaged,Hostel
Room cleaning not done,Hostel
Electricity issue in hostel,Hostel
Fan not working in room,Hostel
Room cleaning not done,Hostel
Electricity issue in hostel,Hostel
Room cleaning not done,Hostel
Wifi not working,Hostel
Water problem in hostel,Hostel
Fan not working in room,Hostel
Bed damaged,Hostel
Water problem in hostel,Hostel
Bed damaged,Hostel
Fan not working in room,Hostel
Food quality is poor,Hostel
Room cleaning not done,Hostel
Washroom not clean,Hostel
Electricity issue in hostel,Hostel
Bed damaged,Hostel
Water problem in hostel,Hostel
Wifi not working,Hostel
Bed damaged,Hostel
Food quality is poor,Hostel
Electricity issue in hostel,Hostel
Washroom not clean,Hostel
Washroom not clean,Hostel
Fan not working in room,Hostel
Bed damaged,Hostel
Electricity issue in hostel,Hostel
Water problem in hostel,Hostel
Fan not working in room,Hostel
Food quality is poor,Hostel
Bed damaged,Hostel
Washroom not clean,Hostel
Electricity issue in hostel,Hostel
Water problem in hostel,Hostel
Food quality is poor,Hostel
Washroom not clean,Hostel
Bed damaged,Hostel
Food quality is poor,Hostel
Electricity issue in hostel,Hostel
Wifi not working,Hostel
Water problem in hostel,Hostel
Washroom not clean,Hostel
Room cleaning not done,Hostel
Washroom not clean,Hostel
Washroom not clean,Hostel
